TRADEDATE,CLOSE,VALUE,VOLUME
2015-12-10,100.13,8959436284.2,88967510.0
2015-12-11,98.15,9032283624.3,90949100.0
2015-12-14,97.7,9921378442.1,101851290.0
2015-12-15,100.0,8741234831.7,87563530.0
2015-12-16,102.45,7173782061.5,70548170.0
2015-12-17,103.75,12511558166.4,120210540.0
2015-12-18,98.81,10934242379.6,108929250.0
2015-12-21,98.73,8076479541.6,81398290.0
2015-12-22,99.8,4870644757.0,48799790.0
2015-12-23,102.96,7362336613.5,72286800.0
2015-12-24,101.35,7360203488.0,72255900.0
2015-12-25,101.34,2659577449.7,26197790.0
2015-12-28,100.2,3696017086.7,36924620.0
2015-12-29,101.82,7344425012.6,72703690.0
2015-12-30,101.26,3932572461.9,38868080.0
2016-01-04,98.01,5077424469.2,51264550.0
2016-01-05,98.89,4821702731.4,49071570.0
2016-01-06,96.85,3986265724.8,40710930.0
2016-01-11,91.03,7987443989.1,86120290.0
2016-01-12,91.71,10043706788.5,110109050.0
2016-01-13,91.5,6892432509.5,74169700.0
2016-01-14,93.04,7437317841.1,81179220.0
2016-01-15,87.27,11969727980.7,133791200.0
2016-01-18,86.15,8736658755.0,100574240.0
2016-01-19,86.68,10054122892.0,114039260.0
2016-01-20,83.83,11248337450.6,134624680.0
2016-01-21,86.0,12301358567.0,143863130.0
2016-01-22,91.5,18629551391.5,207689990.0
2016-01-25,91.0,12064344954.0,131784760.0
2016-01-26,91.5,9524472957.3,105375580.0
2016-01-27,95.75,14245600391.1,150816500.0
2016-01-28,96.69,17265123553.8,179555940.0
2016-01-29,96.5,16054714712.7,165404880.0
2016-02-01,96.5,8635273185.5,89621070.0
2016-02-02,94.4,12264491075.8,128999060.0
2016-02-03,94.53,10773565474.7,112704620.0
2016-02-04,97.57,11909432345.8,122053010.0
2016-02-05,97.2,7915423689.6,81434160.0
2016-02-08,94.7,10166007287.3,106207300.0
2016-02-09,93.89,11439498246.7,121341460.0
2016-02-10,96.35,10568892898.4,111478160.0
2016-02-11,94.2,10879931799.9,115370090.0
2016-02-12,94.85,7535249615.1,79435870.0
2016-02-15,95.25,6577429632.5,68610990.0
2016-02-16,96.51,11083515697.3,114942500.0
2016-02-17,99.2,11240177159.3,114840150.0
2016-02-18,102.7,12732765327.4,125646250.0
2016-02-19,101.5,17517992690.7,171600390.0
2016-02-20,102.39,1856073801.2,18170020.0
2016-02-22,103.2,6848604254.1,66187510.0
2016-02-24,102.1,9065264147.5,89140580.0
2016-02-25,104.05,11403975917.3,110333690.0
2016-02-26,106.24,15295321582.9,144091540.0
2016-02-29,107.0,9760622267.5,91798290.0
2016-03-01,108.26,12378692096.8,114856490.0
2016-03-02,106.12,10513076518.7,97924080.0
2016-03-03,106.99,8550809009.7,80188360.0
2016-03-04,108.99,9097424212.0,84288020.0
2016-03-07,109.47,8213200369.8,75021080.0
2016-03-09,108.15,7832078624.6,72419980.0
2016-03-10,108.84,10361161759.0,94994800.0
2016-03-11,109.26,6706688254.4,61331210.0
2016-03-14,109.26,7248895619.9,66481000.0
2016-03-15,106.46,13731851331.0,127043830.0
2016-03-16,107.0,8097090903.9,75835060.0
2016-03-17,109.47,10123365188.7,92997390.0
2016-03-18,112.4,14983920514.0,134630750.0
2016-03-21,112.07,12891948432.2,115565250.0
2016-03-22,111.49,12081656420.5,107526080.0
2016-03-23,109.1,11471587093.6,104185740.0
2016-03-24,108.06,10092376449.9,93439810.0
2016-03-25,109.1,3598642926.5,32979670.0
2016-03-28,108.12,5444454984.8,50130410.0
2016-03-29,107.05,9252193779.5,86835580.0
2016-03-30,109.15,9179021892.9,84472720.0
2016-03-31,109.9,11622833134.2,106590120.0
2016-04-01,108.52,10954729269.3,101276220.0
2016-04-04,108.2,8742196865.3,80458170.0
2016-04-05,106.87,8076292165.0,75655980.0
2016-04-06,108.0,8134181775.9,75577530.0
2016-04-07,108.51,8710184003.2,80295520.0
2016-04-08,112.92,13825944881.5,124450440.0
2016-04-11,117.35,17458747643.8,150709430.0
2016-04-12,117.95,14222423017.2,121033520.0
2016-04-13,119.5,12284221991.6,103450650.0
2016-04-14,119.3,10448824709.5,87986340.0
2016-04-15,119.3,8389339753.7,70464930.0
2016-04-18,118.2,10752898612.4,91828010.0
2016-04-19,121.5,16735309525.3,137828350.0
2016-04-20,123.75,12741395879.8,104454360.0
2016-04-21,119.17,22131501769.7,181989880.0
